Generated 0      programs,  absolute time: 0:00:00.000483,  relative time: 0:00:00.000483
Generated 10000  programs,  absolute time: 0:00:10.686485,  relative time: 0:00:10.686002
Generated 20000  programs,  absolute time: 0:00:19.437473,  relative time: 0:00:08.750988
Generated 30000  programs,  absolute time: 0:00:28.242964,  relative time: 0:00:08.805491
Generated 40000  programs,  absolute time: 0:00:36.872450,  relative time: 0:00:08.629486
Generated 50000  programs,  absolute time: 0:00:45.470899,  relative time: 0:00:08.598449
Generated 50000  programs,  absolute time: 0:00:45.471242,  relative time: 0:00:00.000343
Generated 50000  programs,  absolute time: 0:00:45.471611,  relative time: 0:00:00.000369
Generated 60000  programs,  absolute time: 0:00:54.174021,  relative time: 0:00:08.702410
Generated 70000  programs,  absolute time: 0:01:02.902007,  relative time: 0:00:08.727986
Generated 80000  programs,  absolute time: 0:01:11.719301,  relative time: 0:00:08.817294
Generated 80000  programs,  absolute time: 0:01:11.719682,  relative time: 0:00:00.000381
Generated 80000  programs,  absolute time: 0:01:11.720058,  relative time: 0:00:00.000376
Generated 90000  programs,  absolute time: 0:01:20.486811,  relative time: 0:00:08.766753
Generated 90000  programs,  absolute time: 0:01:20.487187,  relative time: 0:00:00.000376
Generated 90000  programs,  absolute time: 0:01:20.487565,  relative time: 0:00:00.000378
Generated 90000  programs,  absolute time: 0:01:20.487934,  relative time: 0:00:00.000369
Generated 90000  programs,  absolute time: 0:01:20.488315,  relative time: 0:00:00.000381
Generated 90000  programs,  absolute time: 0:01:20.488698,  relative time: 0:00:00.000383
Generated 90000  programs,  absolute time: 0:01:20.489075,  relative time: 0:00:00.000377
Generated 90000  programs,  absolute time: 0:01:20.489446,  relative time: 0:00:00.000371
Generated 100000 programs,  absolute time: 0:01:29.241865,  relative time: 0:00:08.752419
Generated 100000 programs,  absolute time: 0:01:29.242239,  relative time: 0:00:00.000374
Generated 110000 programs,  absolute time: 0:01:38.119050,  relative time: 0:00:08.876811
Generated 110000 programs,  absolute time: 0:01:38.119423,  relative time: 0:00:00.000373
Generated 120000 programs,  absolute time: 0:01:46.881173,  relative time: 0:00:08.761750
Generated 120000 programs,  absolute time: 0:01:46.881549,  relative time: 0:00:00.000376
Generated 120000 programs,  absolute time: 0:01:46.881925,  relative time: 0:00:00.000376
Generated 130000 programs,  absolute time: 0:01:55.536317,  relative time: 0:00:08.654392
Generated 140000 programs,  absolute time: 0:02:04.123921,  relative time: 0:00:08.587604
Generated 150000 programs,  absolute time: 0:02:12.810091,  relative time: 0:00:08.686170
Generated 160000 programs,  absolute time: 0:02:21.652701,  relative time: 0:00:08.842610
Generated 160000 programs,  absolute time: 0:02:21.653078,  relative time: 0:00:00.000377
Generated 160000 programs,  absolute time: 0:02:21.653450,  relative time: 0:00:00.000372
Generated 160000 programs,  absolute time: 0:02:21.653798,  relative time: 0:00:00.000348
Generated 160000 programs,  absolute time: 0:02:21.654109,  relative time: 0:00:00.000311
Generated 160000 programs,  absolute time: 0:02:21.654458,  relative time: 0:00:00.000349
Generated 170000 programs,  absolute time: 0:02:30.345079,  relative time: 0:00:08.690621
Generated 170000 programs,  absolute time: 0:02:30.345471,  relative time: 0:00:00.000392
Generated 170000 programs,  absolute time: 0:02:30.345845,  relative time: 0:00:00.000374
Generated 180000 programs,  absolute time: 0:02:39.092886,  relative time: 0:00:08.747041
Generated 180000 programs,  absolute time: 0:02:39.093266,  relative time: 0:00:00.000380
Generated 190000 programs,  absolute time: 0:02:47.846490,  relative time: 0:00:08.753224
Generated 200000 programs,  absolute time: 0:02:56.647475,  relative time: 0:00:08.800985
Generated 200000 programs,  absolute time: 0:02:56.647882,  relative time: 0:00:00.000407
Generated 200000 programs,  absolute time: 0:02:56.648242,  relative time: 0:00:00.000360
Generated 200000 programs,  absolute time: 0:02:56.648623,  relative time: 0:00:00.000381
Generated 210000 programs,  absolute time: 0:03:05.457122,  relative time: 0:00:08.808499
Generated 210000 programs,  absolute time: 0:03:05.457504,  relative time: 0:00:00.000382
Generated 220000 programs,  absolute time: 0:03:14.185984,  relative time: 0:00:08.728480
Generated 220000 programs,  absolute time: 0:03:14.186357,  relative time: 0:00:00.000373
Generated 220000 programs,  absolute time: 0:03:14.186720,  relative time: 0:00:00.000363
Generated 220000 programs,  absolute time: 0:03:14.187099,  relative time: 0:00:00.000379
Generated 220000 programs,  absolute time: 0:03:14.187459,  relative time: 0:00:00.000360
Generated 220000 programs,  absolute time: 0:03:14.187839,  relative time: 0:00:00.000380
Generated 220000 programs,  absolute time: 0:03:14.188219,  relative time: 0:00:00.000380
Generated 230000 programs,  absolute time: 0:03:22.991305,  relative time: 0:00:08.803086
Generated 240000 programs,  absolute time: 0:03:31.680387,  relative time: 0:00:08.689082
Generated 250000 programs,  absolute time: 0:03:40.285971,  relative time: 0:00:08.605584
Generated 250000 programs,  absolute time: 0:03:40.286340,  relative time: 0:00:00.000369
Generated 250000 programs,  absolute time: 0:03:40.286721,  relative time: 0:00:00.000381
Generated 250000 programs,  absolute time: 0:03:40.287083,  relative time: 0:00:00.000362
Generated 260000 programs,  absolute time: 0:03:49.087594,  relative time: 0:00:08.800511
Generated 260000 programs,  absolute time: 0:03:49.087998,  relative time: 0:00:00.000404
Generated 260000 programs,  absolute time: 0:03:49.088359,  relative time: 0:00:00.000361
Generated 260000 programs,  absolute time: 0:03:49.088748,  relative time: 0:00:00.000389
Generated 270000 programs,  absolute time: 0:03:57.779088,  relative time: 0:00:08.690340
Generated 280000 programs,  absolute time: 0:04:06.553986,  relative time: 0:00:08.774898
Generated 280000 programs,  absolute time: 0:04:06.554380,  relative time: 0:00:00.000394
